Username,Password,Nome,Cognome,"Domicilio",Ruolo
konoi,ciao1234,pummolo,bagonzo,propoli,utente
konod,Ciao,mattia,rotteri,"Via Davide Plesa",utente
ChefRubino,Ciao123,David,Rubino,"Via Roma",Ristoratore
manto,ciao,pum,dsfsdf,"via mantox",ristoratore
nkoin,ciao1234,nome,cognome,"via pappapapa",utente
wizx,ciao,pals,vdsfd,"gollfd",ristoratore
lokonoi,ciao1234,mattia,plesica,"Via Paronzo Bagonzo 13",utente
test1,fsd,sfd,fsd,"fs",utente
wefr,fsd,fds,fsd,"fs",ristoratore
konon,fgedrsgfsd,mantix,paolocco,"Viale Luigi Cadorna 2 Busto Arsizio",ristoratore
sdrogolo,ciao1234,marco,rossi,"Viale Luigi Cadorna Busto Arsizio",utente
